Industry,Sector,Sub_Sector,Indicator,Governorate,District,Date,Year,Quarter,Value,Unit,Confidence_Score,Source_Verified,YoY_Change,Source_ID
Manufacturing,Chemicals,Fertilizers,Nitrogen Price,Cairo,Maadi,2023-Q1,2023,Q1,7316.72,EGP,Low,False,6.3,SRC-799
Manufacturing,Chemicals,Fertilizers,Phosphate Price,Cairo,Maadi,2023-Q1,2023,Q1,4643.18,EGP,High,True,19.7,SRC-644
Manufacturing,Chemicals,Fertilizers,Production Volume,Cairo,Maadi,2023-Q1,2023,Q1,54690.36,Units,Low,True,25.0,SRC-928
Manufacturing,Chemicals,Plastics,Polyethylene Price,Cairo,Maadi,2023-Q1,2023,Q1,10530.77,EGP,Medium,True,23.5,SRC-861
Manufacturing,Chemicals,Plastics,Polypropylene Price,Cairo,Maadi,2023-Q1,2023,Q1,8615.81,EGP,Low,True,-5.7,SRC-144
Real Estate,Residential,Rental,Avg Rent (Sqm),Cairo,Maadi,2023-Q1,2023,Q1,4232.88,EGP,High,True,-6.4,SRC-494
Real Estate,Residential,Rental,Occupancy Rate,Cairo,Maadi,2023-Q1,2023,Q1,2932.51,Units,Medium,True,7.8,SRC-971
Real Estate,Residential,Sales,Avg Price (Sqm),Cairo,Maadi,2023-Q1,2023,Q1,7421.44,EGP,Low,False,7.8,SRC-670
Real Estate,Residential,Sales,Sales Volume,Cairo,Maadi,2023-Q1,2023,Q1,49560.33,Units,Medium,True,4.3,SRC-371
Real Estate,Commercial,Retail,Avg Rent (Sqm),Cairo,Maadi,2023-Q1,2023,Q1,2282.84,EGP,Medium,False,-3.4,SRC-589
Real Estate,Commercial,Retail,Foot Traffic Score,Cairo,Maadi,2023-Q1,2023,Q1,2460.48,Units,Medium,True,-7.5,SRC-375
Real Estate,Commercial,Office,Avg Rent (Sqm),Cairo,Maadi,2023-Q1,2023,Q1,1074.11,EGP,Low,True,-9.6,
Agriculture,Crops,Wheat,Yield per Feddan,Cairo,Maadi,2023-Q2,2023,Q2,2499.59,Units,Medium,False,4.0,SRC-243
Agriculture,Crops,Wheat,Market Price (Ton),Cairo,Maadi,2023-Q2,2023,Q2,1248.88,EGP,High,True,-4.5,SRC-457
Agriculture,Crops,Wheat,Export Volume,Cairo,Maadi,2023-Q2,2023,Q2,27098.75,Units,Low,False,8.7,SRC-268
Agriculture,Crops,Cotton,Long Staple Price,Cairo,Maadi,2023-Q2,2023,Q2,2527.02,EGP,Low,True,0.5,SRC-668
Agriculture,Crops,Cotton,Export Volume,Cairo,Maadi,2023-Q2,2023,Q2,17556.25,Units,Medium,False,5.3,SRC-230
Agriculture,Crops,Rice,Yield per Feddan,Cairo,Maadi,2023-Q2,2023,Q2,3477.98,Units,Low,True,15.7,
Agriculture,Crops,Rice,Market Price (Ton),Cairo,Maadi,2023-Q2,2023,Q2,5802.2,EGP,High,True,3.6,SRC-270
Agriculture,Livestock,Cattle,Head Count,Cairo,Maadi,2023-Q2,2023,Q2,5950.91,Units,Low,False,22.9,SRC-281
Agriculture,Livestock,Cattle,Milk Production,Cairo,Maadi,2023-Q2,2023,Q2,2007.07,Units,High,True,2.4,
Agriculture,Livestock,Cattle,Meat Price,Cairo,Maadi,2023-Q2,2023,Q2,5542.7,EGP,Medium,True,-7.4,SRC-591
Agriculture,Livestock,Poultry,Egg Production,Cairo,Maadi,2023-Q2,2023,Q2,953.52,Units,Medium,False,10.1,
Agriculture,Livestock,Poultry,Meat Price,Cairo,Maadi,2023-Q2,2023,Q2,8570.11,EGP,High,True,-8.9,
Manufacturing,Textiles,Raw Materials,Cotton Yarn Price,Cairo,Maadi,2023-Q2,2023,Q2,6176.82,EGP,High,True,11.0,
Manufacturing,Textiles,Raw Materials,Synthetic Fiber Price,Cairo,Maadi,2023-Q2,2023,Q2,6589.03,EGP,High,False,2.0,
Manufacturing,Textiles,Apparel,Export Volume,Cairo,Maadi,2023-Q2,2023,Q2,25485.9,Units,Medium,True,-14.3,SRC-122
Manufacturing,Textiles,Apparel,Local Sales Volume,Cairo,Maadi,2023-Q2,2023,Q2,4135.25,Units,Low,False,16.7,SRC-983
Manufacturing,Chemicals,Fertilizers,Nitrogen Price,Cairo,Maadi,2023-Q2,2023,Q2,3023.12,EGP,Low,False,18.3,
Manufacturing,Chemicals,Fertilizers,Production Volume,Cairo,Maadi,2023-Q2,2023,Q2,17707.42,Units,High,False,22.1,SRC-762
Manufacturing,Chemicals,Plastics,Polyethylene Price,Cairo,Maadi,2023-Q2,2023,Q2,5815.56,EGP,Low,False,23.4,
Manufacturing,Chemicals,Plastics,Polypropylene Price,Cairo,Maadi,2023-Q2,2023,Q2,719.19,EGP,Low,True,15.9,SRC-371
Real Estate,Residential,Rental,Avg Rent (Sqm),Cairo,Maadi,2023-Q2,2023,Q2,1338.9,EGP,Medium,False,-7.1,
Real Estate,Residential,Rental,Occupancy Rate,Cairo,Maadi,2023-Q2,2023,Q2,1032.9,Units,High,True,22.5,
Real Estate,Residential,Sales,Avg Price (Sqm),Cairo,Maadi,2023-Q2,2023,Q2,7073.56,EGP,Low,True,6.4,SRC-783
Real Estate,Residential,Sales,Sales Volume,Cairo,Maadi,2023-Q2,2023,Q2,2034.31,Units,High,True,-2.5,SRC-383
Real Estate,Commercial,Retail,Avg Rent (Sqm),Cairo,Maadi,2023-Q2,2023,Q2,688.56,EGP,High,True,-14.3,SRC-789
Real Estate,Commercial,Office,Avg Rent (Sqm),Cairo,Maadi,2023-Q2,2023,Q2,3164.3,EGP,High,False,-1.2,SRC-987
Real Estate,Commercial,Office,Vacancy Rate,Cairo,Maadi,2023-Q2,2023,Q2,4157.09,Units,Medium,False,15.6,SRC-817
Agriculture,Crops,Wheat,Market Price (Ton),Cairo,Maadi,2023-Q3,2023,Q3,3837.69,EGP,Low,False,16.5,
Agriculture,Crops,Cotton,Long Staple Price,Cairo,Maadi,2023-Q3,2023,Q3,2697.24,EGP,Low,False,1.3,
Agriculture,Crops,Cotton,Short Staple Price,Cairo,Maadi,2023-Q3,2023,Q3,2864.58,EGP,Low,False,2.6,SRC-437
Agriculture,Crops,Cotton,Export Volume,Cairo,Maadi,2023-Q3,2023,Q3,43329.02,Units,Medium,True,15.9,SRC-619
Agriculture,Crops,Rice,Yield per Feddan,Cairo,Maadi,2023-Q3,2023,Q3,2805.36,Units,Medium,True,9.7,SRC-917
Agriculture,Crops,Rice,Market Price (Ton),Cairo,Maadi,2023-Q3,2023,Q3,5802.39,EGP,Medium,False,-6.0,SRC-814
Agriculture,Livestock,Cattle,Head Count,Cairo,Maadi,2023-Q3,2023,Q3,3820.18,Units,Low,True,20.6,
Agriculture,Livestock,Cattle,Milk Production,Cairo,Maadi,2023-Q3,2023,Q3,1931.22,Units,High,False,-2.5,SRC-503
Agriculture,Livestock,Poultry,Egg Production,Cairo,Maadi,2023-Q3,2023,Q3,958.83,Units,Low,True,7.1,SRC-776
Agriculture,Livestock,Poultry,Meat Price,Cairo,Maadi,2023-Q3,2023,Q3,487.59,EGP,High,False,5.4,SRC-790
Manufacturing,Textiles,Raw Materials,Cotton Yarn Price,Cairo,Maadi,2023-Q3,2023,Q3,249.14,EGP,High,False,17.6,
Manufacturing,Textiles,Raw Materials,Synthetic Fiber Price,Cairo,Maadi,2023-Q3,2023,Q3,5420.48,EGP,High,False,-4.9,SRC-406
Manufacturing,Textiles,Apparel,Export Volume,Cairo,Maadi,2023-Q3,2023,Q3,38005.26,Units,Medium,False,-6.1,SRC-626
Manufacturing,Textiles,Apparel,Local Sales Volume,Cairo,Maadi,2023-Q3,2023,Q3,16264.46,Units,High,True,17.6,SRC-428
Manufacturing,Chemicals,Fertilizers,Nitrogen Price,Cairo,Maadi,2023-Q3,2023,Q3,9248.92,EGP,Medium,False,-1.9,SRC-535
Manufacturing,Chemicals,Fertilizers,Phosphate Price,Cairo,Maadi,2023-Q3,2023,Q3,5874.28,EGP,Medium,True,23.3,SRC-688
Manufacturing,Chemicals,Fertilizers,Production Volume,Cairo,Maadi,2023-Q3,2023,Q3,6739.99,Units,Low,True,-8.1,SRC-929
Manufacturing,Chemicals,Plastics,Polyethylene Price,Cairo,Maadi,2023-Q3,2023,Q3,2518.94,EGP,Medium,True,11.9,SRC-424
Manufacturing,Chemicals,Plastics,Polypropylene Price,Cairo,Maadi,2023-Q3,2023,Q3,2225.28,EGP,Low,True,-13.8,SRC-714
Real Estate,Residential,Rental,Avg Rent (Sqm),Cairo,Maadi,2023-Q3,2023,Q3,5140.26,EGP,High,False,23.9,SRC-252
Real Estate,Residential,Rental,Occupancy Rate,Cairo,Maadi,2023-Q3,2023,Q3,326.86,Units,Medium,False,23.3,
Real Estate,Residential,Sales,Sales Volume,Cairo,Maadi,2023-Q3,2023,Q3,20432.05,Units,High,False,-7.9,
Real Estate,Commercial,Retail,Avg Rent (Sqm),Cairo,Maadi,2023-Q3,2023,Q3,2774.61,EGP,Medium,True,24.9,SRC-502
Real Estate,Commercial,Retail,Foot Traffic Score,Cairo,Maadi,2023-Q3,2023,Q3,4182.51,Units,High,False,20.1,
Real Estate,Commercial,Office,Avg Rent (Sqm),Cairo,Maadi,2023-Q3,2023,Q3,1024.17,EGP,Medium,False,22.3,
Agriculture,Crops,Wheat,Market Price (Ton),Cairo,Maadi,2023-Q4,2023,Q4,3796.32,EGP,Low,True,22.9,
Agriculture,Crops,Wheat,Export Volume,Cairo,Maadi,2023-Q4,2023,Q4,13399.19,Units,Medium,False,18.7,SRC-603
Agriculture,Crops,Cotton,Long Staple Price,Cairo,Maadi,2023-Q4,2023,Q4,4079.21,EGP,Low,True,14.5,SRC-297
Agriculture,Crops,Cotton,Short Staple Price,Cairo,Maadi,2023-Q4,2023,Q4,5216.68,EGP,Low,False,-8.2,SRC-244
Agriculture,Crops,Cotton,Export Volume,Cairo,Maadi,2023-Q4,2023,Q4,44153.22,Units,Low,False,22.5,SRC-375
Agriculture,Crops,Rice,Yield per Feddan,Cairo,Maadi,2023-Q4,2023,Q4,270.49,Units,High,False,-1.2,SRC-476
Agriculture,Crops,Rice,Market Price (Ton),Cairo,Maadi,2023-Q4,2023,Q4,3545.46,EGP,Low,True,-5.1,SRC-735
Agriculture,Livestock,Cattle,Head Count,Cairo,Maadi,2023-Q4,2023,Q4,760.01,Units,Medium,False,-0.6,SRC-909
Agriculture,Livestock,Cattle,Milk Production,Cairo,Maadi,2023-Q4,2023,Q4,4845.79,Units,High,False,16.3,SRC-684
Agriculture,Livestock,Cattle,Meat Price,Cairo,Maadi,2023-Q4,2023,Q4,5118.24,EGP,Low,False,23.3,SRC-757
Agriculture,Livestock,Poultry,Egg Production,Cairo,Maadi,2023-Q4,2023,Q4,3650.82,Units,Low,False,-10.2,SRC-146
Agriculture,Livestock,Poultry,Meat Price,Cairo,Maadi,2023-Q4,2023,Q4,9601.5,EGP,High,False,3.7,SRC-128
Manufacturing,Textiles,Raw Materials,Cotton Yarn Price,Cairo,Maadi,2023-Q4,2023,Q4,1988.24,EGP,Low,False,-4.5,SRC-818
Manufacturing,Textiles,Raw Materials,Synthetic Fiber Price,Cairo,Maadi,2023-Q4,2023,Q4,2362.46,EGP,Medium,True,19.3,
Manufacturing,Textiles,Apparel,Export Volume,Cairo,Maadi,2023-Q4,2023,Q4,26799.78,Units,Low,True,-9.0,
Manufacturing,Textiles,Apparel,Local Sales Volume,Cairo,Maadi,2023-Q4,2023,Q4,26654.89,Units,Low,True,-5.0,
Manufacturing,Chemicals,Fertilizers,Nitrogen Price,Cairo,Maadi,2023-Q4,2023,Q4,8563.45,EGP,High,False,11.5,SRC-828
Manufacturing,Chemicals,Fertilizers,Phosphate Price,Cairo,Maadi,2023-Q4,2023,Q4,8628.37,EGP,Medium,True,14.2,
Manufacturing,Chemicals,Fertilizers,Production Volume,Cairo,Maadi,2023-Q4,2023,Q4,35652.77,Units,Low,False,-13.9,
Manufacturing,Chemicals,Plastics,Polypropylene Price,Cairo,Maadi,2023-Q4,2023,Q4,6201.41,EGP,Low,False,-7.2,SRC-616
Real Estate,Residential,Rental,Avg Rent (Sqm),Cairo,Maadi,2023-Q4,2023,Q4,4265.73,EGP,Low,True,-8.5,SRC-822
Real Estate,Residential,Rental,Occupancy Rate,Cairo,Maadi,2023-Q4,2023,Q4,532.74,Units,High,True,9.4,SRC-306
Real Estate,Residential,Sales,Avg Price (Sqm),Cairo,Maadi,2023-Q4,2023,Q4,9599.72,EGP,Medium,True,23.6,
Real Estate,Residential,Sales,Sales Volume,Cairo,Maadi,2023-Q4,2023,Q4,35012.45,Units,High,True,-12.5,
Real Estate,Commercial,Retail,Avg Rent (Sqm),Cairo,Maadi,2023-Q4,2023,Q4,1998.97,EGP,Medium,True,11.1,
Real Estate,Commercial,Retail,Foot Traffic Score,Cairo,Maadi,2023-Q4,2023,Q4,5409.16,Units,Low,True,9.4,SRC-362
Real Estate,Commercial,Office,Avg Rent (Sqm),Cairo,Maadi,2023-Q4,2023,Q4,298.82,EGP,Low,False,-9.8,SRC-111
Real Estate,Commercial,Office,Vacancy Rate,Cairo,Maadi,2023-Q4,2023,Q4,1183.9,Units,Medium,False,17.6,
Agriculture,Crops,Wheat,Yield per Feddan,Cairo,Maadi,2024-Q1,2024,Q1,3644.69,Units,Medium,False,-7.5,SRC-398
Agriculture,Crops,Wheat,Market Price (Ton),Cairo,Maadi,2024-Q1,2024,Q1,8714.33,EGP,High,False,19.1,SRC-829
Agriculture,Crops,Wheat,Export Volume,Cairo,Maadi,2024-Q1,2024,Q1,32305.56,Units,Medium,True,-7.0,SRC-433
Agriculture,Crops,Cotton,Short Staple Price,Cairo,Maadi,2024-Q1,2024,Q1,8198.5,EGP,Low,True,16.7,SRC-126
Agriculture,Crops,Cotton,Export Volume,Cairo,Maadi,2024-Q1,2024,Q1,26465.6,Units,Low,True,-2.2,SRC-491
Agriculture,Crops,Rice,Yield per Feddan,Cairo,Maadi,2024-Q1,2024,Q1,1133.26,Units,High,False,-5.7,SRC-272
Agriculture,Crops,Rice,Market Price (Ton),Cairo,Maadi,2024-Q1,2024,Q1,4149.4,EGP,High,True,-9.1,
Agriculture,Livestock,Cattle,Head Count,Cairo,Maadi,2024-Q1,2024,Q1,1624.03,Units,Medium,True,5.7,
Agriculture,Livestock,Cattle,Milk Production,Cairo,Maadi,2024-Q1,2024,Q1,2409.01,Units,High,True,-9.7,SRC-453
Agriculture,Livestock,Cattle,Meat Price,Cairo,Maadi,2024-Q1,2024,Q1,2674.29,EGP,High,False,-12.5,SRC-262
Agriculture,Livestock,Poultry,Egg Production,Cairo,Maadi,2024-Q1,2024,Q1,3746.64,Units,Low,True,2.9,SRC-556
Agriculture,Livestock,Poultry,Meat Price,Cairo,Maadi,2024-Q1,2024,Q1,8832.77,EGP,Low,False,15.4,SRC-555
Manufacturing,Textiles,Raw Materials,Cotton Yarn Price,Cairo,Maadi,2024-Q1,2024,Q1,10158.28,EGP,High,True,6.5,SRC-555
Manufacturing,Textiles,Raw Materials,Synthetic Fiber Price,Cairo,Maadi,2024-Q1,2024,Q1,9732.06,EGP,Low,False,11.0,
Manufacturing,Textiles,Apparel,Export Volume,Cairo,Maadi,2024-Q1,2024,Q1,26064.82,Units,Low,True,18.1,SRC-531
Manufacturing,Textiles,Apparel,Local Sales Volume,Cairo,Maadi,2024-Q1,2024,Q1,47786.81,Units,Low,False,1.3,SRC-675
Manufacturing,Chemicals,Fertilizers,Phosphate Price,Cairo,Maadi,2024-Q1,2024,Q1,3304.55,EGP,High,True,24.6,SRC-475
Manufacturing,Chemicals,Fertilizers,Production Volume,Cairo,Maadi,2024-Q1,2024,Q1,3423.9,Units,Medium,True,-2.4,SRC-995
Manufacturing,Chemicals,Plastics,Polyethylene Price,Cairo,Maadi,2024-Q1,2024,Q1,10656.29,EGP,Medium,True,20.6,SRC-738
Manufacturing,Chemicals,Plastics,Polypropylene Price,Cairo,Maadi,2024-Q1,2024,Q1,2147.93,EGP,High,False,4.1,SRC-165
Real Estate,Residential,Rental,Avg Rent (Sqm),Cairo,Maadi,2024-Q1,2024,Q1,2628.11,EGP,High,True,-0.6,
Real Estate,Residential,Rental,Occupancy Rate,Cairo,Maadi,2024-Q1,2024,Q1,3819.98,Units,Low,True,-14.4,SRC-434
Real Estate,Residential,Sales,Avg Price (Sqm),Cairo,Maadi,2024-Q1,2024,Q1,1829.14,EGP,Medium,False,17.7,SRC-839
Real Estate,Residential,Sales,Sales Volume,Cairo,Maadi,2024-Q1,2024,Q1,5990.91,Units,Medium,False,-7.6,
Real Estate,Commercial,Retail,Avg Rent (Sqm),Cairo,Maadi,2024-Q1,2024,Q1,1123.84,EGP,Medium,False,0.8,SRC-697
Real Estate,Commercial,Retail,Foot Traffic Score,Cairo,Maadi,2024-Q1,2024,Q1,4061.94,Units,Low,False,5.8,SRC-141
Real Estate,Commercial,Office,Avg Rent (Sqm),Cairo,Maadi,2024-Q1,2024,Q1,2338.26,EGP,Low,True,-7.4,
Real Estate,Commercial,Office,Vacancy Rate,Cairo,Maadi,2024-Q1,2024,Q1,599.14,Units,High,False,11.3,SRC-841
Agriculture,Crops,Wheat,Yield per Feddan,Cairo,Maadi,2024-Q2,2024,Q2,3923.36,Units,Medium,True,-4.3,SRC-627
Agriculture,Crops,Wheat,Market Price (Ton),Cairo,Maadi,2024-Q2,2024,Q2,7856.12,EGP,Low,True,21.9,SRC-339
Agriculture,Crops,Wheat,Export Volume,Cairo,Maadi,2024-Q2,2024,Q2,24606.97,Units,High,False,-8.2,SRC-990
Agriculture,Crops,Cotton,Long Staple Price,Cairo,Maadi,2024-Q2,2024,Q2,7160.21,EGP,Medium,False,-11.0,SRC-225
Agriculture,Crops,Cotton,Short Staple Price,Cairo,Maadi,2024-Q2,2024,Q2,3529.75,EGP,High,True,-3.5,
Agriculture,Crops,Cotton,Export Volume,Cairo,Maadi,2024-Q2,2024,Q2,55300.72,Units,Low,False,12.4,SRC-666
Agriculture,Crops,Rice,Yield per Feddan,Cairo,Maadi,2024-Q2,2024,Q2,2538.27,Units,Medium,True,8.0,SRC-554
Agriculture,Crops,Rice,Market Price (Ton),Cairo,Maadi,2024-Q2,2024,Q2,11193.34,EGP,Medium,True,20.2,
Agriculture,Livestock,Cattle,Head Count,Cairo,Maadi,2024-Q2,2024,Q2,3872.64,Units,High,False,1.7,
Agriculture,Livestock,Cattle,Milk Production,Cairo,Maadi,2024-Q2,2024,Q2,5316.7,Units,Low,True,13.4,SRC-947
Agriculture,Livestock,Poultry,Egg Production,Cairo,Maadi,2024-Q2,2024,Q2,3104.47,Units,Low,False,-4.6,SRC-893
Agriculture,Livestock,Poultry,Meat Price,Cairo,Maadi,2024-Q2,2024,Q2,5609.93,EGP,Medium,True,3.3,SRC-548
Manufacturing,Textiles,Raw Materials,Cotton Yarn Price,Cairo,Maadi,2024-Q2,2024,Q2,1330.27,EGP,Low,False,3.3,
Manufacturing,Textiles,Raw Materials,Synthetic Fiber Price,Cairo,Maadi,2024-Q2,2024,Q2,4425.2,EGP,Medium,True,-12.5,SRC-778
Manufacturing,Textiles,Apparel,Export Volume,Cairo,Maadi,2024-Q2,2024,Q2,22793.59,Units,Low,False,-4.9,SRC-830
Manufacturing,Textiles,Apparel,Local Sales Volume,Cairo,Maadi,2024-Q2,2024,Q2,50975.9,Units,High,True,3.2,SRC-747
Manufacturing,Chemicals,Fertilizers,Nitrogen Price,Cairo,Maadi,2024-Q2,2024,Q2,2390.49,EGP,Medium,True,-4.5,
Manufacturing,Chemicals,Fertilizers,Phosphate Price,Cairo,Maadi,2024-Q2,2024,Q2,3117.8,EGP,High,False,-14.0,SRC-321
Manufacturing,Chemicals,Fertilizers,Production Volume,Cairo,Maadi,2024-Q2,2024,Q2,11707.06,Units,High,False,19.3,SRC-106
Manufacturing,Chemicals,Plastics,Polyethylene Price,Cairo,Maadi,2024-Q2,2024,Q2,9634.09,EGP,Low,False,15.5,SRC-965
Manufacturing,Chemicals,Plastics,Polypropylene Price,Cairo,Maadi,2024-Q2,2024,Q2,10162.29,EGP,Medium,True,1.7,
Real Estate,Residential,Rental,Avg Rent (Sqm),Cairo,Maadi,2024-Q2,2024,Q2,315.38,EGP,High,True,-7.3,SRC-554
Real Estate,Residential,Rental,Occupancy Rate,Cairo,Maadi,2024-Q2,2024,Q2,769.2,Units,Low,False,0.5,
Real Estate,Residential,Sales,Avg Price (Sqm),Cairo,Maadi,2024-Q2,2024,Q2,5350.74,EGP,Medium,True,-12.7,
Real Estate,Residential,Sales,Sales Volume,Cairo,Maadi,2024-Q2,2024,Q2,54470.35,Units,Low,False,19.5,SRC-936
Real Estate,Commercial,Retail,Foot Traffic Score,Cairo,Maadi,2024-Q2,2024,Q2,1624.7,Units,Low,False,18.6,SRC-949
Real Estate,Commercial,Office,Avg Rent (Sqm),Cairo,Maadi,2024-Q2,2024,Q2,1678.13,EGP,Low,False,-0.0,SRC-116
Real Estate,Commercial,Office,Vacancy Rate,Cairo,Maadi,2024-Q2,2024,Q2,3617.45,Units,High,True,-0.1,
Agriculture,Crops,Wheat,Yield per Feddan,Cairo,Maadi,2024-Q3,2024,Q3,2724.23,Units,High,False,24.6,SRC-284
Agriculture,Crops,Wheat,Market Price (Ton),Cairo,Maadi,2024-Q3,2024,Q3,4556.46,EGP,Medium,True,0.1,SRC-737
Agriculture,Crops,Wheat,Export Volume,Cairo,Maadi,2024-Q3,2024,Q3,21088.65,Units,Low,True,16.2,SRC-390
Agriculture,Crops,Cotton,Long Staple Price,Cairo,Maadi,2024-Q3,2024,Q3,3786.62,EGP,Medium,False,10.0,SRC-451
Agriculture,Crops,Cotton,Short Staple Price,Cairo,Maadi,2024-Q3,2024,Q3,3849.0,EGP,High,False,-10.3,SRC-894
Agriculture,Crops,Rice,Yield per Feddan,Cairo,Maadi,2024-Q3,2024,Q3,5095.22,Units,Medium,False,12.8,SRC-120
Agriculture,Crops,Rice,Market Price (Ton),Cairo,Maadi,2024-Q3,2024,Q3,234.59,EGP,Low,True,-13.9,
Agriculture,Livestock,Cattle,Milk Production,Cairo,Maadi,2024-Q3,2024,Q3,1026.57,Units,High,True,15.3,SRC-577
Agriculture,Livestock,Cattle,Meat Price,Cairo,Maadi,2024-Q3,2024,Q3,11266.15,EGP,Low,False,13.8,
Agriculture,Livestock,Poultry,Egg Production,Cairo,Maadi,2024-Q3,2024,Q3,1994.78,Units,Medium,False,-0.5,
Agriculture,Livestock,Poultry,Meat Price,Cairo,Maadi,2024-Q3,2024,Q3,9608.33,EGP,Medium,True,6.4,SRC-265
Manufacturing,Textiles,Raw Materials,Cotton Yarn Price,Cairo,Maadi,2024-Q3,2024,Q3,663.49,EGP,High,False,-13.2,SRC-857
Manufacturing,Textiles,Raw Materials,Synthetic Fiber Price,Cairo,Maadi,2024-Q3,2024,Q3,1172.92,EGP,High,True,2.2,SRC-774
Manufacturing,Textiles,Apparel,Export Volume,Cairo,Maadi,2024-Q3,2024,Q3,23022.26,Units,High,True,24.4,SRC-594
Manufacturing,Textiles,Apparel,Local Sales Volume,Cairo,Maadi,2024-Q3,2024,Q3,7173.78,Units,High,True,-12.0,
Manufacturing,Chemicals,Fertilizers,Nitrogen Price,Cairo,Maadi,2024-Q3,2024,Q3,8863.94,EGP,Low,True,16.7,
Manufacturing,Chemicals,Fertilizers,Phosphate Price,Cairo,Maadi,2024-Q3,2024,Q3,2075.41,EGP,Low,True,-1.4,SRC-587
Manufacturing,Chemicals,Fertilizers,Production Volume,Cairo,Maadi,2024-Q3,2024,Q3,44328.31,Units,Low,True,-3.0,
Manufacturing,Chemicals,Plastics,Polyethylene Price,Cairo,Maadi,2024-Q3,2024,Q3,3776.16,EGP,Low,True,2.1,
Manufacturing,Chemicals,Plastics,Polypropylene Price,Cairo,Maadi,2024-Q3,2024,Q3,2831.62,EGP,Low,False,-1.8,
Real Estate,Residential,Rental,Avg Rent (Sqm),Cairo,Maadi,2024-Q3,2024,Q3,1824.12,EGP,High,True,-5.3,
Real Estate,Residential,Rental,Occupancy Rate,Cairo,Maadi,2024-Q3,2024,Q3,4166.47,Units,Low,True,-0.9,SRC-886
Real Estate,Residential,Sales,Avg Price (Sqm),Cairo,Maadi,2024-Q3,2024,Q3,2710.59,EGP,Low,True,-9.9,
Real Estate,Residential,Sales,Sales Volume,Cairo,Maadi,2024-Q3,2024,Q3,43644.41,Units,Low,True,24.4,SRC-445
Real Estate,Commercial,Retail,Avg Rent (Sqm),Cairo,Maadi,2024-Q3,2024,Q3,873.42,EGP,Medium,False,17.7,SRC-334
Real Estate,Commercial,Office,Avg Rent (Sqm),Cairo,Maadi,2024-Q3,2024,Q3,774.78,EGP,High,True,24.2,SRC-591
Real Estate,Commercial,Office,Vacancy Rate,Cairo,Maadi,2024-Q3,2024,Q3,2783.39,Units,Medium,False,13.2,SRC-415
Agriculture,Crops,Wheat,Yield per Feddan,Cairo,Maadi,2024-Q4,2024,Q4,3426.23,Units,High,False,10.0,
Agriculture,Crops,Wheat,Market Price (Ton),Cairo,Maadi,2024-Q4,2024,Q4,9137.49,EGP,Low,False,-3.0,SRC-310
Agriculture,Crops,Wheat,Export Volume,Cairo,Maadi,2024-Q4,2024,Q4,17394.16,Units,High,True,22.0,SRC-973
Agriculture,Crops,Cotton,Long Staple Price,Cairo,Maadi,2024-Q4,2024,Q4,9286.42,EGP,Medium,True,17.3,SRC-414
